class_name,component_class_name,diagram_id,edge_id,implicit_reason,instance_id,is_implicit_supply,is_suspicious_match,match_confidence,match_distance_px,match_status,match_warnings,net_id,net_implicit_reason,net_index,net_is_implicit_supply,relation_type,relative_position,snap_point,source,target,terminal_id,terminal_name
,,4,edge:4:component:9.1:terminal:9.1:t1,,9.1,,,,,,,,,,,HAS_TERMINAL,top,,component:4:9.1,terminal:4:9.1:t1,9.1:t1,t1
,,4,edge:4:component:4.1:terminal:4.1:t1,,4.1,,,,,,,,,,,HAS_TERMINAL,left,,component:4:4.1,terminal:4:4.1:t1,4.1:t1,t1
,,4,edge:4:component:4.1:terminal:4.1:t2,,4.1,,,,,,,,,,,HAS_TERMINAL,right,,component:4:4.1,terminal:4:4.1:t2,4.1:t2,t2
,,4,edge:4:component:4.2:terminal:4.2:t1,,4.2,,,,,,,,,,,HAS_TERMINAL,top,,component:4:4.2,terminal:4:4.2:t1,4.2:t1,t1
,,4,edge:4:component:4.2:terminal:4.2:t2,,4.2,,,,,,,,,,,HAS_TERMINAL,bottom,,component:4:4.2,terminal:4:4.2:t2,4.2:t2,t2
,,4,edge:4:component:9.2:terminal:9.2:t1,,9.2,,,,,,,,,,,HAS_TERMINAL,top,,component:4:9.2,terminal:4:9.2:t1,9.2:t1,t1
,,4,edge:4:component:19.1:terminal:19.1:in1,,19.1,,,,,,,,,,,HAS_TERMINAL,left,,component:4:19.1,terminal:4:19.1:in1,19.1:in1,in1
,,4,edge:4:component:19.1:terminal:19.1:in2,,19.1,,,,,,,,,,,HAS_TERMINAL,left,,component:4:19.1,terminal:4:19.1:in2,19.1:in2,in2
,,4,edge:4:component:19.1:terminal:19.1:out,,19.1,,,,,,,,,,,HAS_TERMINAL,right,,component:4:19.1,terminal:4:19.1:out,19.1:out,out
,,4,edge:4:component:4.3:terminal:4.3:t1,,4.3,,,,,,,,,,,HAS_TERMINAL,left,,component:4:4.3,terminal:4:4.3:t1,4.3:t1,t1
,,4,edge:4:component:4.3:terminal:4.3:t2,,4.3,,,,,,,,,,,HAS_TERMINAL,right,,component:4:4.3,terminal:4:4.3:t2,4.3:t2,t2
,,4,edge:4:component:4.4:terminal:4.4:t1,,4.4,,,,,,,,,,,HAS_TERMINAL,top,,component:4:4.4,terminal:4:4.4:t1,4.4:t1,t1
,,4,edge:4:component:4.4:terminal:4.4:t2,,4.4,,,,,,,,,,,HAS_TERMINAL,bottom,,component:4:4.4,terminal:4:4.4:t2,4.4:t2,t2
,,4,edge:4:component:9.3:terminal:9.3:t1,,9.3,,,,,,,,,,,HAS_TERMINAL,top,,component:4:9.3,terminal:4:9.3:t1,9.3:t1,t1
,GND,4,edge:4:terminal:9.1:t1:net:N1,,,,False,ok,0.0,matched_preferred,[],N1,,1,False,CONNECTED_TO,,"[35, 901]",terminal:4:9.1:t1,net:4:N1,9.1:t1,
,Capacitor,4,edge:4:terminal:4.1:t1:net:N1,,,,False,ok,1.0,matched_preferred,[],N1,,1,False,CONNECTED_TO,,"[120, 419]",terminal:4:4.1:t1,net:4:N1,4.1:t1,
,Capacitor,4,edge:4:terminal:4.1:t2:net:N2,,,,False,ok,1.0,matched_preferred,[],N2,,2,False,CONNECTED_TO,,"[175, 419]",terminal:4:4.1:t2,net:4:N2,4.1:t2,
,Capacitor,4,edge:4:terminal:4.2:t1:net:N2,,,,False,ok,1.0,matched_preferred,[],N2,,2,False,CONNECTED_TO,,"[331, 514]",terminal:4:4.2:t1,net:4:N2,4.2:t1,
,Capacitor,4,edge:4:terminal:4.2:t2:net:N3,,,,False,ok,1.0,matched_preferred,[],N3,,3,False,CONNECTED_TO,,"[331, 605]",terminal:4:4.2:t2,net:4:N3,4.2:t2,
,GND,4,edge:4:terminal:9.2:t1:net:N3,,,,False,ok,0.0,matched_preferred,[],N3,,3,False,CONNECTED_TO,,"[331, 905]",terminal:4:9.2:t1,net:4:N3,9.2:t1,
,Operational_Amplifier,4,edge:4:terminal:19.1:in1:net:N2,,,,False,ok,7.0,matched_preferred,"[""used_circle_search""]",N2,,2,False,CONNECTED_TO,,"[395, 419]",terminal:4:19.1:in1,net:4:N2,19.1:in1,
,Operational_Amplifier,4,edge:4:terminal:19.1:in2:net:N3,,,,False,ok,5.0,matched_preferred,[],N3,,3,False,CONNECTED_TO,,"[395, 697]",terminal:4:19.1:in2,net:4:N3,19.1:in2,
,Operational_Amplifier,4,edge:4:terminal:19.1:out:net:N4,,,,False,ok,3.0,matched_preferred,[],N4,,4,False,CONNECTED_TO,,"[655, 559]",terminal:4:19.1:out,net:4:N4,19.1:out,
,Capacitor,4,edge:4:terminal:4.3:t1:net:N2,,,,False,ok,0.0,matched_preferred,[],N2,,2,False,CONNECTED_TO,,"[507, 209]",terminal:4:4.3:t1,net:4:N2,4.3:t1,
,Capacitor,4,edge:4:terminal:4.3:t2:net:N4,,,,False,ok,0.0,matched_preferred,[],N4,,4,False,CONNECTED_TO,,"[568, 209]",terminal:4:4.3:t2,net:4:N4,4.3:t2,
,Capacitor,4,edge:4:terminal:4.4:t1:net:N4,,,,False,ok,0.0,matched_preferred,[],N4,,4,False,CONNECTED_TO,,"[754, 697]",terminal:4:4.4:t1,net:4:N4,4.4:t1,
,Capacitor,4,edge:4:terminal:4.4:t2:net:N5,,,,False,ok,0.0,matched_preferred,[],N5,,5,False,CONNECTED_TO,,"[754, 798]",terminal:4:4.4:t2,net:4:N5,4.4:t2,
,GND,4,edge:4:terminal:9.3:t1:net:N5,,,,False,ok,1.0,matched_preferred,[],N5,,5,False,CONNECTED_TO,,"[754, 910]",terminal:4:9.3:t1,net:4:N5,9.3:t1,
