diagram_id,edge_id,instance_id,match_distance_px,match_status,net_id,relation_type,source,target,terminal_id
pilot_001,edge:component:4.3:terminal:4.3:t1,4.3,,,,HAS_TERMINAL,component:4.3,terminal:4.3:t1,4.3:t1
pilot_001,edge:component:4.3:terminal:4.3:t2,4.3,,,,HAS_TERMINAL,component:4.3,terminal:4.3:t2,4.3:t2
pilot_001,edge:component:9.4:terminal:9.4:t1,9.4,,,,HAS_TERMINAL,component:9.4,terminal:9.4:t1,9.4:t1
pilot_001,edge:component:26.1:terminal:26.1:t1,26.1,,,,HAS_TERMINAL,component:26.1,terminal:26.1:t1,26.1:t1
pilot_001,edge:terminal:9.1:t1:net:N1,,0.0,matched_single,N1,CONNECTED_TO,terminal:9.1:t1,net:N1,9.1:t1
pilot_001,edge:terminal:31.1:t1:net:N2,,0.0,matched_single,N2,CONNECTED_TO,terminal:31.1:t1,net:N2,31.1:t1
pilot_001,edge:terminal:31.1:t2:net:N1,,0.0,matched_single,N1,CONNECTED_TO,terminal:31.1:t2,net:N1,31.1:t2
pilot_001,edge:terminal:22.1:t1:net:N2,,0.0,matched_single,N2,CONNECTED_TO,terminal:22.1:t1,net:N2,22.1:t1
pilot_001,edge:terminal:22.1:t2:net:N3,,0.0,matched_single,N3,CONNECTED_TO,terminal:22.1:t2,net:N3,22.1:t2
pilot_001,edge:terminal:4.1:t1:net:N3,,0.0,matched_single,N3,CONNECTED_TO,terminal:4.1:t1,net:N3,4.1:t1
pilot_001,edge:terminal:4.1:t2:net:N4,,0.0,matched_single,N4,CONNECTED_TO,terminal:4.1:t2,net:N4,4.1:t2
pilot_001,edge:terminal:4.2:t1:net:N6,,0.0,matched_single,N6,CONNECTED_TO,terminal:4.2:t1,net:N6,4.2:t1
pilot_001,edge:terminal:4.2:t2:net:N3,,0.0,matched_single,N3,CONNECTED_TO,terminal:4.2:t2,net:N3,4.2:t2
pilot_001,edge:terminal:22.2:t1:net:N4,,0.0,matched_single,N4,CONNECTED_TO,terminal:22.2:t1,net:N4,22.2:t1
pilot_001,edge:terminal:22.2:t2:net:N5,,0.0,matched_single,N5,CONNECTED_TO,terminal:22.2:t2,net:N5,22.2:t2
pilot_001,edge:terminal:9.2:t1:net:N5,,0.0,matched_single,N5,CONNECTED_TO,terminal:9.2:t1,net:N5,9.2:t1
pilot_001,edge:terminal:22.3:t1:net:N6,,0.0,matched_single,N6,CONNECTED_TO,terminal:22.3:t1,net:N6,22.3:t1
pilot_001,edge:terminal:22.3:t2:net:N7,,0.0,matched_single,N7,CONNECTED_TO,terminal:22.3:t2,net:N7,22.3:t2
pilot_001,edge:terminal:9.3:t1:net:N7,,0.0,matched_single,N7,CONNECTED_TO,terminal:9.3:t1,net:N7,9.3:t1
pilot_001,edge:terminal:4.3:t1:net:N6,,0.0,matched_single,N6,CONNECTED_TO,terminal:4.3:t1,net:N6,4.3:t1
pilot_001,edge:terminal:4.3:t2:net:N8,,0.0,matched_single,N8,CONNECTED_TO,terminal:4.3:t2,net:N8,4.3:t2
pilot_001,edge:terminal:9.4:t1:net:N8,,0.0,matched_single,N8,CONNECTED_TO,terminal:9.4:t1,net:N8,9.4:t1
pilot_001,edge:terminal:26.1:t1:net:N6,,0.0,matched_single,N6,CONNECTED_TO,terminal:26.1:t1,net:N6,26.1:t1
