circuit,model,score_json,score_json_img,delta_score_img_minus_json,top1_json,top1_json_img,top3_json,top3_json_img,errors_json,errors_json_img,hallucinations_json,hallucinations_json_img,latency_json,latency_json_img,cost_json,cost_json_img
ic15,gpt-4.1-mini,8.0,10.0,2.0,0,0,0,0,5,4,3,4,52.846,45.88,0.0076516,0.007972400000000001
ic15,gpt-4.1-nano,9.0,9.0,0.0,0,0,0,0,4,4,3,2,18.876,14.536,0.0017825,0.0019244000000000002
ic15,gpt-4o-mini,10.0,10.0,0.0,0,0,1,0,5,3,2,2,42.55,30.767,0.0021805500000000003,0.0060432
ic15,gpt-5-mini,20.0,15.0,-5.0,1,0,1,1,0,3,2,2,43.245,53.565,0.008826,0.01024775
ic15,gpt-5-nano,8.0,9.0,1.0,0,0,0,0,5,5,5,4,29.902,34.859,0.0020556000000000003,0.0023265000000000004
ic15,gpt-5.4,20.0,19.0,-1.0,1,0,1,1,0,2,1,0,53.146,52.129,0.07887,0.0799275
ic15,gpt-5.4-mini,19.0,13.0,-6.0,1,0,1,1,2,3,2,2,27.207,18.441,0.022630499999999998,0.01896975
ic15,gpt-5.4-nano,10.0,10.0,0.0,0,0,0,0,4,4,3,3,24.552,21.483,0.0064869,0.00594285
ic2,gpt-4.1-mini,16.0,15.0,-1.0,0,0,1,0,2,3,2,3,37.013,29.85,0.012044000000000001,0.011241600000000001
ic2,gpt-4.1-nano,8.0,11.0,3.0,0,0,1,1,4,3,3,4,17.769,26.745,0.0026954,0.0029189000000000003
ic2,gpt-4o-mini,8.0,10.0,2.0,0,1,0,1,4,4,2,3,52.252,39.236,0.0036063,0.00750255
ic2,gpt-5-mini,16.0,20.0,4.0,0,1,0,1,2,0,1,1,39.383,50.263,0.01162525,0.011861
ic2,gpt-5-nano,9.0,13.0,4.0,1,1,1,1,4,4,3,3,26.509,33.921,0.0023938500000000003,0.00247515
ic2,gpt-5.4,20.0,21.0,1.0,1,1,1,1,0,0,0,0,49.737,49.115,0.0968225,0.100115
ic2,gpt-5.4-mini,20.0,20.0,0.0,1,1,1,1,0,0,0,0,15.735,14.395,0.023997749999999998,0.023729999999999998
ic2,gpt-5.4-nano,17.0,15.0,-2.0,1,0,1,0,2,2,1,1,19.663,21.159,0.0074134,0.0076856
ic3,gpt-4.1-mini,19.0,19.0,0.0,1,1,1,1,1,0,2,3,29.178,28.352,0.0050588000000000004,0.005682
ic3,gpt-4.1-nano,19.0,19.0,0.0,1,1,1,1,0,1,2,2,23.971,27.251,0.0012403000000000002,0.0014038
ic3,gpt-4o-mini,18.0,16.0,-2.0,1,0,1,1,3,2,1,0,27.699,30.725,0.00153945,0.005294699999999999
ic3,gpt-5-mini,20.0,21.0,1.0,1,1,1,1,0,0,2,0,48.706,42.644,0.0075495,0.00678725
ic3,gpt-5-nano,19.0,19.0,0.0,1,1,1,1,2,0,2,4,32.552,31.66,0.0019251000000000001,0.001888
ic3,gpt-5.4,18.0,20.0,2.0,1,1,1,1,2,0,0,1,43.792,58.563,0.059344999999999995,0.0656075
ic3,gpt-5.4-mini,20.0,21.0,1.0,1,1,1,1,0,0,1,0,16.128,12.916,0.013191000000000001,0.01315725
ic3,gpt-5.4-nano,17.0,18.0,1.0,1,1,1,1,2,2,1,2,31.345,22.959,0.00453165,0.0050276
ic7,gpt-4.1-mini,14.0,18.0,4.0,0,1,1,1,3,2,2,2,29.774,21.172,0.005082,0.004798
ic7,gpt-4.1-nano,17.0,17.0,0.0,1,1,1,1,2,2,3,2,18.344,13.243,0.0010937,0.0013132
ic7,gpt-4o-mini,16.0,15.0,-1.0,1,0,1,1,2,3,2,3,22.063,23.582,0.00137895,0.0053418
ic7,gpt-5-mini,18.0,14.0,-4.0,1,0,1,1,1,3,2,3,49.042,44.329,0.007415,0.0077547499999999995
ic7,gpt-5-nano,12.0,18.0,6.0,0,1,1,1,3,2,3,2,41.511,26.121,0.0019218,0.0015759
ic7,gpt-5.4,14.0,17.0,3.0,0,0,0,0,4,2,3,2,53.559,49.948,0.06527999999999999,0.0654975
ic7,gpt-5.4-mini,17.0,20.0,3.0,1,1,1,1,3,0,2,0,23.651,20.841,0.016816499999999998,0.01624275
ic7,gpt-5.4-nano,11.0,17.0,6.0,0,1,1,1,3,2,3,2,15.164,18.003,0.0038767,0.0044564
ic8,gpt-4.1-mini,19.0,11.0,-8.0,1,0,1,0,1,3,2,4,102.683,34.441,0.009072,0.0092568
ic8,gpt-4.1-nano,9.0,8.0,-1.0,0,0,0,0,4,4,4,3,26.247,16.544,0.0021424,0.0022995000000000003
ic8,gpt-4o-mini,16.0,10.0,-6.0,1,0,1,1,3,4,2,3,68.682,42.636,0.0025494,0.00645705
ic8,gpt-5-mini,18.0,16.0,-2.0,0,0,1,1,2,3,2,2,39.413,54.061,0.00906975,0.0113375
ic8,gpt-5-nano,9.0,14.0,5.0,0,0,0,1,4,3,4,2,29.958,27.948,0.0021651500000000002,0.0024144500000000003
ic8,gpt-5.4,20.0,20.0,0.0,1,1,1,1,0,0,2,2,53.632,50.143,0.0879925,0.08365
ic8,gpt-5.4-mini,20.0,19.0,-1.0,1,1,1,1,0,0,2,2,21.753,29.05,0.02114175,0.025869000000000003
ic8,gpt-5.4-nano,19.0,12.0,-7.0,1,0,1,1,2,4,2,3,23.157,21.557,0.00669955,0.006570500000000001
ic9,gpt-4.1-mini,20.0,17.0,-3.0,1,1,1,1,0,2,1,2,37.146,17.966,0.005789200000000001,0.00578
ic9,gpt-4.1-nano,16.0,16.0,0.0,1,1,1,1,2,2,2,2,9.514,13.206,0.0013265,0.0014843
ic9,gpt-4o-mini,15.0,13.0,-2.0,1,1,1,1,2,3,2,2,16.396,29.355,0.0015373499999999998,0.00541065
ic9,gpt-5-mini,15.0,18.0,3.0,0,1,1,1,3,2,3,2,50.648,42.195,0.008938999999999999,0.0092105
ic9,gpt-5-nano,16.0,17.0,1.0,1,1,1,1,3,2,3,2,23.164,24.181,0.0016686000000000001,0.0015382500000000001
ic9,gpt-5.4,20.0,21.0,1.0,1,1,1,1,0,0,0,0,47.878,57.318,0.064745,0.078055
ic9,gpt-5.4-mini,17.0,19.0,2.0,1,1,1,1,1,1,1,1,22.118,20.664,0.018703499999999998,0.0155775
ic9,gpt-5.4-nano,12.0,16.0,4.0,0,1,1,1,4,3,2,2,18.959,19.711,0.004451,0.00527175
