circuit_id,component_class,count,component_ids
b05,Breaker,1,breaker3.1
b05,Diode,1,diode7.1
b05,GND,1,gnd9.1
b05,Inductor,1,inductor10.1
b05,PNP_Transistor,2,npn_transistor18.1|npn_transistor18.2
b05,Polarized_Capacitor,4,polarized_capacitor20.1|polarized_capacitor20.2|polarized_capacitor20.3|polarized_capacitor20.4
b05,Resistor,3,resistor22.1|resistor22.2|resistor22.3
b05,Switch,1,switch25.1
b06,Antenna,1,antenna1.1
b06,Battery,1,battery2.1
b06,Breaker,1,breaker3.1
b06,Diode,1,diode7.1
b06,GND,1,gnd9.1
b06,Inductor,1,inductor10.1
b06,NPN_Transistor,1,npn_transistor18.1
b06,Operational_Amplifier,1,operational_amplifier19.1
b06,Polarized_Capacitor,6,polarized_capacitor20.1|polarized_capacitor20.2|polarized_capacitor20.3|polarized_capacitor20.4|polarized_capacitor20.5|polarized_capacitor20.6
b06,Resistor,3,resistor22.1|resistor22.2|resistor22.3
b06,Switch,1,switch25.1
b10,Current_Source,3,current_source6.1|current_source6.2|current_source6.3
b10,GND,1,gnd9.1
b10,Polarized_Capacitor,5,polarized_capacitor20.1|polarized_capacitor20.2|polarized_capacitor20.3|polarized_capacitor20.4|polarized_capacitor20.5
b10,Resistor,2,resistor22.1|resistor22.2
b10,Switch,1,switch25.1
b10,Terminal,4,terminal26.1|terminal26.2|terminal26.3|terminal26.4
b10,Voltage_Source,1,voltage_source31.1
c02,Battery,1,battery2.1
c02,LED,2,led12.1|led12.2
c02,NPN_Transistor,2,npn_transistor18.1|npn_transistor18.2
c02,Polarized_Capacitor,2,polarized_capacitor20.1|polarized_capacitor20.2
c02,Resistor,4,resistor22.1|resistor22.2|resistor22.3|resistor22.4
c03,GND,5,gnd9.1|gnd9.2|gnd9.3|gnd9.4|gnd9.5
c03,Operational_Amplifier,1,operational_amplifier19.1
c03,Polarized_Capacitor,7,polarized_capacitor20.1|polarized_capacitor20.2|polarized_capacitor20.3|polarized_capacitor20.4|polarized_capacitor20.5|polarized_capacitor20.6|polarized_capacitor20.7
c03,Resistor,4,resistor22.1|resistor22.2|resistor22.3|resistor22.4
c03,Speaker,1,speaker24.1
c03,Terminal,3,terminal26.1|terminal26.2|terminal26.3
ic01,Capacitor,3,capacitor4.1|capacitor4.2|capacitor4.3
ic01,GND,1,gnd9.1
ic01,Integrated_Circuit,1,integrated_circuit11.1
ic01,LED,1,led12.1
ic01,Resistor,3,resistor22.1|resistor22.2|resistor22.3
ic01,Terminal,1,terminal26.1
ic02,Fuse,2,fuse8.1|fuse8.2
ic02,GND,9,gnd9.1|gnd9.2|gnd9.3|gnd9.4|gnd9.5|gnd9.6|gnd9.7|gnd9.8|gnd9.9
ic02,Integrated_Circuit,1,integrated_circuit11.1
ic02,Polarized_Capacitor,7,polarized_capacitor20.1|polarized_capacitor20.2|polarized_capacitor20.3|polarized_capacitor20.4|polarized_capacitor20.5|polarized_capacitor20.6|polarized_capacitor20.7
ic02,Resistor,6,resistor22.1|resistor22.2|resistor22.3|resistor22.4|resistor22.5|resistor22.6
ic02,Speaker,1,speaker24.1
ic02,Terminal,3,terminal26.1|terminal26.2|terminal26.3
ic03,GND,1,gnd9.1
ic03,Integrated_Circuit,1,integrated_circuit11.1
ic03,Lamp,1,lamp13.1
ic03,Polarized_Capacitor,4,polarized_capacitor20.1|polarized_capacitor20.2|polarized_capacitor20.3|polarized_capacitor20.4
ic03,Resistor,3,resistor22.1|resistor22.2|resistor22.3
ic03,Switch,1,switch25.1
ic03,Terminal,2,terminal26.1|terminal26.2
ic04,GND,1,gnd9.1
ic04,Integrated_Circuit,2,integrated_circuit11.1|integrated_circuit11.2
ic04,LED,1,led12.1
ic04,Polarized_Capacitor,4,polarized_capacitor20.1|polarized_capacitor20.2|polarized_capacitor20.3|polarized_capacitor20.4
ic04,Resistor,5,resistor22.1|resistor22.2|resistor22.3|resistor22.4|resistor22.5
ic04,Speaker,1,speaker24.1
ic04,Terminal,1,terminal26.1
